TAA,Side,Band_Index,EffCos_Lo,EffCos_Hi,U_1.400eV,U_1.544eV,U_1.689eV,U_1.833eV,U_1.978eV,U_2.122eV,U_2.267eV,U_2.411eV,U_2.556eV,U_2.700eV
321,Dawn,1,0.0500,0.1000,5.838730e+27,9.950119e+28,2.636028e+29,3.708708e+29,3.630942e+29,2.372053e+29,1.080495e+29,3.504989e+28,8.584126e+27,1.401119e+27
321,Dawn,2,0.1000,0.2000,8.036104e+25,1.170459e+28,3.142629e+29,7.528350e+29,7.609179e+29,5.130886e+29,2.399759e+29,7.660668e+28,1.806172e+28,3.296746e+27
321,Dawn,3,0.2000,0.3500,2.005547e+25,1.113203e+26,5.114111e+27,2.474882e+29,7.732540e+29,6.370934e+29,2.952528e+29,9.567343e+28,2.226731e+28,3.621529e+27
321,Dawn,4,0.3500,0.5500,3.026221e+25,1.406281e+26,2.130038e+26,2.885989e+27,5.568726e+28,3.276177e+29,2.591362e+29,8.803357e+28,2.074906e+28,3.307919e+27
321,Dawn,5,0.5500,1.0100,2.308668e+25,1.073904e+26,2.126730e+26,1.873870e+26,1.033897e+27,9.340819e+27,6.019131e+28,5.449056e+28,1.744428e+28,3.155724e+27
321,Dusk,0,0.0000,0.0500,5.208959e+28,1.942531e+29,4.096652e+29,5.893267e+29,5.813817e+29,4.027796e+29,1.874292e+29,6.051253e+28,1.440525e+28,2.396723e+27
321,Dusk,1,0.0500,0.1000,4.846582e+26,2.604636e+28,1.357665e+29,2.348915e+29,2.459950e+29,1.679421e+29,7.620221e+28,2.453721e+28,5.684712e+27,8.422850e+26
321,Dusk,2,0.1000,0.2000,2.012920e+25,2.445180e+27,1.080150e+29,3.729092e+29,4.570500e+29,3.286898e+29,1.590605e+29,5.102647e+28,1.187022e+28,1.963076e+27
321,Dusk,3,0.2000,0.3500,3.137092e+22,6.562955e+25,2.359570e+27,7.370718e+28,3.329243e+29,3.456428e+29,1.724523e+29,5.704400e+28,1.288046e+28,2.252259e+27
321,Dusk,4,0.3500,0.5500,1.025594e+25,5.061287e+25,1.389029e+26,1.480162e+27,2.277648e+28,1.437763e+29,1.371307e+29,4.871098e+28,1.139517e+28,1.800608e+27
321,Dusk,5,0.5500,1.0100,6.306347e+25,4.733484e+25,1.525774e+26,2.309184e+26,8.824946e+26,7.794180e+27,3.709160e+28,3.689691e+28,1.291313e+28,2.245224e+27
